0,False,0.0,0.0,0.0
1,False,0.0010493483978827097,0.0,0.02
2,False,0.0010493483978827097,0.0,0.02
3,False,0.009452476619188799,0.0,0.06
4,False,0.02630344058337941,0.0,0.1
5,False,0.0379232992137214,0.0,0.12
6,False,0.06763057149156466,0.0,0.16
7,False,0.06763057149156466,0.0,0.16
8,False,0.12869175015865436,0.0,0.22
9,False,0.2765903682055789,0.0,0.32
10,False,0.3134791459195673,0.0,0.34
11,False,0.39502077839092226,0.0,0.38
12,False,0.43981426942036583,0.0,0.4
13,False,0.5378526653880371,0.0,0.44
14,True,0.707518749639422,0.0,0.5
15,True,0.707518749639422,0.0,0.5
16,True,0.8371064245826592,0.0,0.54
17,True,1.3200000000000003,0.0,0.66
18,True,1.62710433126368,0.0,0.72
19,True,1.8632889370918462,0.0,0.76
20,True,2.43555742419867,0.0,0.84
21,True,2.6055827153188846,0.0,0.86
22,True,3.2092235628047243,0.0,0.92
23,True,3.4520798214532054,0.0,0.94
24,True,3.723979780920589,0.0,0.96
25,True,3.723979780920589,0.0,0.96
26,True,3.723979780920589,0.0,0.96
27,True,4.033167673071537,0.0,0.98
28,True,4.033167673071537,0.0,0.98
29,True,4.033167673071537,0.0,0.98
30,True,4.033167673071537,0.0,0.98
31,True,4.392317422778761,0.0,1.0
32,True,4.392317422778761,0.0,1.0
33,True,4.392317422778761,0.0,1.0
34,True,4.392317422778761,0.0,1.0
35,True,4.392317422778761,0.0,1.0
36,True,4.392317422778761,0.0,1.0
37,True,4.392317422778761,0.0,1.0
38,True,4.392317422778761,0.0,1.0
39,True,4.392317422778761,0.0,1.0
40,True,4.033167673071537,0.02,1.0
41,True,3.723979780920589,0.04,1.0
42,True,3.2092235628047243,0.08,1.0
43,True,2.43555742419867,0.16,1.0
44,True,1.7416913464148787,0.26,1.0
45,True,1.62710433126368,0.28,1.0
46,True,1.0593208478177865,0.4,1.0
47,False,0.4873951623211634,0.58,1.0
48,False,0.12869175015865436,0.78,1.0
49,False,0.0010493483978827106,0.98,1.0
50,False,0.0,1.0,1.0
0,False,0.02630344058337941,0.0,0.1
1,False,0.2765903682055789,0.0,0.32
2,True,0.8371064245826592,0.0,0.54
3,True,1.3200000000000003,0.0,0.66
4,True,2.1303720101779438,0.0,0.8
5,True,2.789534001269235,0.0,0.88
6,True,3.2092235628047243,0.0,0.92
7,True,3.723979780920589,0.0,0.96
8,True,3.209223562804723,0.04,0.96
9,True,2.43555742419867,0.14,0.98
10,True,2.2776382145041127,0.16,0.98
11,True,2.1303720101779438,0.2,1.0
12,True,1.5189475010096185,0.3,1.0
13,True,1.228404185466698,0.36,1.0
14,True,0.9812890686898479,0.42,1.0
15,True,0.7705718840336675,0.48,1.0
16,False,0.5378526653880371,0.56,1.0
17,False,0.43981426942036583,0.6,1.0
18,False,0.35293362957038427,0.64,1.0
19,False,0.24220647661728129,0.7,1.0
20,False,0.18073780880261064,0.74,1.0
21,False,0.10610294333975592,0.8,1.0
22,False,0.08575884790973778,0.82,1.0
23,False,0.08575884790973778,0.82,1.0
24,False,0.08575884790973778,0.82,1.0
25,False,0.08575884790973778,0.82,1.0
26,False,0.06763057149156472,0.84,1.0
27,False,0.051692733353200716,0.86,1.0
28,False,0.0379232992137214,0.88,1.0
29,False,0.0379232992137214,0.88,1.0
30,False,0.0263034405833794,0.9,1.0
31,False,0.009452476619188807,0.94,1.0
32,False,0.009452476619188807,0.94,1.0
33,False,0.0010493483978827106,0.98,1.0
34,False,0.0010493483978827106,0.98,1.0
35,False,0.0,1.0,1.0
36,False,0.0,1.0,1.0
37,False,0.0,1.0,1.0
38,False,0.0,1.0,1.0
39,False,0.0,1.0,1.0
40,False,0.0,1.0,1.0
41,False,0.0,1.0,1.0
42,False,0.0,1.0,1.0
43,False,0.0,1.0,1.0
44,False,0.0,1.0,1.0
45,False,0.0,1.0,1.0
46,False,0.0,1.0,1.0
47,False,0.0,1.0,1.0
48,False,0.0,1.0,1.0
49,False,0.0,1.0,1.0
50,False,0.0,1.0,1.0
0,False,0.0,0.0,0.0
1,False,0.0,0.0,0.0
2,False,0.08575884790973769,0.18,0.0
3,False,0.1535578645813619,0.24,0.0
4,False,0.43981426942036583,0.4,0.0
5,False,1.3200000000000003,0.68,0.02
6,False,1.6271043312636797,0.74,0.02
7,False,2.1303720101779433,0.82,0.02
8,False,2.4355574241986706,0.9,0.06
9,False,2.2776382145041127,0.96,0.14
10,False,2.1303720101779438,0.98,0.18
11,False,1.6271043312636797,1.0,0.28
12,False,1.3199999999999996,1.0,0.34
13,False,0.9812890686898479,1.0,0.42
14,False,0.5912850206766342,1.0,0.54
15,False,0.537852665388037,1.0,0.56
16,False,0.35293362957038427,1.0,0.64
17,False,0.24220647661728137,1.0,0.7
18,False,0.18073780880261064,1.0,0.74
19,False,0.18073780880261064,1.0,0.74
20,False,0.1535578645813619,1.0,0.76
21,False,0.08575884790973778,1.0,0.82
22,False,0.08575884790973778,1.0,0.82
23,False,0.08575884790973778,1.0,0.82
24,False,0.06763057149156473,1.0,0.84
25,False,0.06763057149156473,1.0,0.84
26,False,0.06763057149156473,1.0,0.84
27,False,0.05169273335320071,1.0,0.86
28,False,0.02630344058337939,1.0,0.9
29,False,0.02630344058337939,1.0,0.9
30,False,0.02630344058337939,1.0,0.9
31,False,0.009452476619188816,1.0,0.94
32,False,0.009452476619188816,1.0,0.94
33,False,0.0010493483978827117,1.0,0.98
34,False,0.0010493483978827117,1.0,0.98
35,False,0.0,1.0,1.0
36,False,0.0,1.0,1.0
